disease                , symptoms                                                                                    , severity, description                                                 , treatment
Common Cold            , "Cough,Runny Nose,Sore Throat,Sneezing,Mild Fever"                                          , low     , "Viral infection affecting nose and throat"                 , "Rest, fluids, over-the-counter medications"
Influenza              , "Fever,Headache,Muscle Aches,Fatigue,Cough,Sore Throat"                                     , medium  , "Contagious respiratory illness caused by influenza viruses", "Antiviral medications, rest, fluids, pain relievers"
COVID-19               , "Fever,Cough,Difficulty Breathing,Fatigue,Loss of Taste or Smell,Body Aches"                , high    , "Respiratory illness caused by SARS-CoV-2 virus"            , "Isolation, supportive care, antivirals if severe"
Pneumonia              , "Fever,Cough,Chest Pain,Difficulty Breathing,Fatigue,Sweating"                              , high    , "Lung infection causing inflammation of air sacs"           , "Antibiotics, rest, oxygen therapy if needed"
Bronchitis             , "Persistent Cough,Mucus Production,Chest Discomfort,Fatigue,Mild Fever"                     , medium  , "Inflammation of bronchial tubes"                           , "Rest, fluids, cough suppressants, inhaler"
Asthma                 , "Wheezing,Difficulty Breathing,Chest Tightness,Coughing"                                    , high    , "Chronic airway inflammation"                               , "Inhaler, avoid triggers, steroids if needed"
Allergic Rhinitis      , "Sneezing,Runny Nose,Itchy Eyes,Nasal Congestion"                                           , low     , "Allergic reaction to airborne substances"                  , "Antihistamines, avoid allergens, nasal sprays"
Sinusitis              , "Facial Pain,Nasal Congestion,Thick Nasal Discharge,Headache,Fever"                         , medium  , "Inflammation of sinus cavities"                            , "Decongestants, saline rinse, antibiotics if bacterial"
Strep Throat           , "Severe Sore Throat,Difficulty Swallowing,Fever,Swollen Lymph Nodes"                        , medium  , "Bacterial throat infection"                                , "Antibiotics, pain relievers, rest"
Tonsillitis            , "Sore Throat,Swollen Tonsils,Difficulty Swallowing,Fever,Bad Breath"                        , medium  , "Inflammation of the tonsils"                               , "Rest, fluids, pain relievers, antibiotics if bacterial"
Gastroenteritis        , "Nausea,Vomiting,Diarrhea,Abdominal Pain,Fever,Dehydration"                                 , medium  , "Stomach and intestinal inflammation"                       , "Hydration, rest, bland diet, electrolytes"
Food Poisoning         , "Nausea,Vomiting,Diarrhea,Abdominal Cramps,Fever"                                           , medium  , "Illness from contaminated food"                            , "Hydration, rest, avoid solid foods initially"
Gastritis              , "Abdominal Pain,Nausea,Bloating,Loss of Appetite,Indigestion"                               , low     , "Stomach lining inflammation"                               , "Antacids, avoid irritants, bland diet"
Peptic Ulcer           , "Burning Stomach Pain,Bloating,Nausea,Loss of Appetite,Heartburn"                           , medium  , "Open sore in stomach or intestinal lining"                 , "Antibiotics, acid reducers, avoid NSAIDs"
IBS                    , "Abdominal Pain,Bloating,Diarrhea,Constipation,Gas"                                         , low     , "Chronic digestive disorder"                                , "Diet changes, stress management, medications"
Appendicitis           , "Sharp Abdominal Pain,Nausea,Vomiting,Fever,Loss of Appetite"                               , critical, "Inflammation of the appendix"                              , "Emergency surgery (appendectomy)"
Migraine               , "Severe Headache,Nausea,Sensitivity to Light,Visual Disturbances,Dizziness"                 , medium  , "Recurrent severe headaches"                                , "Pain relievers, rest in dark room, preventive meds"
Tension Headache       , "Dull Headache,Pressure Around Head,Neck Stiffness,Mild Sensitivity to Light"               , low     , "Common headache from muscle tension"                       , "Pain relievers, stress relief, adequate sleep"
Meningitis             , "Severe Headache,Stiff Neck,Fever,Confusion,Sensitivity to Light"                           , critical, "Inflammation of brain/spinal cord membranes"               , "Emergency hospitalization, antibiotics or antivirals"
Concussion             , "Headache,Dizziness,Confusion,Memory Problems,Nausea,Blurred Vision"                        , high    , "Brain injury from head trauma"                             , "Rest, avoid screens, gradual return to activity"
Vertigo                , "Dizziness,Loss of Balance,Nausea,Spinning Sensation"                                       , medium  , "Sensation of spinning or moving"                           , "Medication, physical therapy, treat underlying cause"
Seizure Disorder       , "Seizures,Loss of Consciousness,Confusion,Muscle Spasms"                                    , high    , "Abnormal electrical activity in brain"                     , "Anti-seizure medications, avoid triggers"
Anxiety Disorder       , "Racing Heart,Sweating,Trembling,Difficulty Breathing,Restlessness,Worry"                   , medium  , "Excessive worry and fear"                                  , "Therapy, relaxation techniques, medications"
Depression             , "Persistent Sadness,Loss of Interest,Fatigue,Sleep Changes,Difficulty Concentrating"        , medium  , "Persistent low mood and loss of interest"                  , "Therapy, antidepressants, lifestyle changes"
Arthritis              , "Joint Pain,Stiffness,Swelling,Reduced Range of Motion"                                     , medium  , "Joint inflammation"                                        , "Pain relievers, physical therapy, exercise"
Rheumatoid Arthritis   , "Joint Pain,Swelling,Morning Stiffness,Fatigue,Fever"                                       , high    , "Autoimmune joint disorder"                                 , "Disease-modifying drugs, steroids, physical therapy"
Osteoarthritis         , "Joint Pain,Stiffness,Tenderness,Loss of Flexibility"                                       , medium  , "Degenerative joint disease"                                , "Pain management, exercise, weight management"
Muscle Strain          , "Muscle Pain,Swelling,Bruising,Limited Movement,Weakness"                                   , low     , "Overstretched or torn muscle"                              , "Rest, ice, compression, elevation (RICE)"
Back Pain              , "Lower Back Pain,Stiffness,Muscle Spasms,Limited Mobility"                                  , medium  , "Pain in lumbar region"                                     , "Pain relievers, physical therapy, proper posture"
Fibromyalgia           , "Widespread Pain,Fatigue,Sleep Problems,Cognitive Issues"                                   , medium  , "Chronic widespread musculoskeletal pain"                   , "Pain management, exercise, sleep improvement"
Tendonitis             , "Joint Pain,Tenderness,Swelling,Reduced Movement"                                           , low     , "Tendon inflammation"                                       , "Rest, ice, anti-inflammatories, physical therapy"
Eczema                 , "Itchy Skin,Red Patches,Dry Skin,Cracked Skin,Inflammation"                                 , low     , "Chronic inflammatory skin condition"                       , "Moisturizers, topical steroids, avoid triggers"
Psoriasis              , "Red Patches,Silvery Scales,Dry Cracked Skin,Itching,Burning"                               , medium  , "Autoimmune skin condition"                                 , "Topical treatments, UV therapy, systemic medications"
Acne                   , "Pimples,Blackheads,Whiteheads,Oily Skin,Inflammation"                                      , low     , "Skin condition with clogged pores"                         , "Topical treatments, good hygiene, medications"
Contact Dermatitis     , "Red Rash,Itching,Blisters,Dry Skin,Burning"                                                , low     , "Allergic or irritant skin reaction"                        , "Avoid trigger, topical steroids, antihistamines"
Fungal Infection       , "Itchy Skin,Red Rash,Scaling,Cracking,Discoloration"                                        , low     , "Infection caused by fungi"                                 , "Antifungal creams, keep area dry, hygiene"
Cellulitis             , "Red Swollen Skin,Warmth,Tenderness,Fever,Spreading Redness"                                , high    , "Bacterial skin infection"                                  , "Antibiotics, elevation, pain management"
Shingles               , "Painful Rash,Blisters,Burning,Numbness,Itching"                                            , high    , "Viral infection causing painful rash"                      , "Antivirals, pain management, rest"
Urinary Tract Infection, "Burning During Urination,Frequent Urination,Cloudy Urine,Pelvic Pain,Fever"                , medium  , "Bacterial infection of urinary system"                     , "Antibiotics, increased fluid intake"
Kidney Stones          , "Severe Side Pain,Blood in Urine,Nausea,Vomiting,Frequent Urination"                        , high    , "Hard deposits in kidneys"                                  , "Pain management, fluids, surgery if large"
Kidney Infection       , "Fever,Back Pain,Nausea,Vomiting,Frequent Urination,Cloudy Urine"                           , high    , "Bacterial infection of kidneys"                            , "Antibiotics, hospitalization if severe"
Anemia                 , "Fatigue,Weakness,Pale Skin,Shortness of Breath,Dizziness,Cold Hands"                       , medium  , "Insufficient red blood cells"                              , "Iron supplements, diet changes, treat cause"
Hyperthyroidism        , "Weight Loss,Rapid Heartbeat,Sweating,Nervousness,Trembling,Heat Intolerance"               , medium  , "Overactive thyroid gland"                                  , "Antithyroid medications, radioactive iodine, surgery"
Hypothyroidism         , "Fatigue,Weight Gain,Cold Intolerance,Dry Skin,Constipation,Depression"                     , medium  , "Underactive thyroid gland"                                 , "Thyroid hormone replacement"
Diabetes Type 2        , "Increased Thirst,Frequent Urination,Fatigue,Blurred Vision,Slow Healing"                   , high    , "Chronic blood sugar elevation"                             , "Diet, exercise, medications, insulin if needed"
Hypertension           , "Headache,Dizziness,Nosebleeds,Shortness of Breath"                                         , high    , "High blood pressure"                                       , "Lifestyle changes, blood pressure medications"
Hypotension            , "Dizziness,Fainting,Nausea,Fatigue,Blurred Vision"                                          , medium  , "Low blood pressure"                                        , "Increase salt/fluid, compression stockings, medications"
Heart Palpitations     , "Racing Heart,Fluttering,Pounding,Skipped Beats,Chest Discomfort"                           , medium  , "Irregular heartbeats"                                      , "Treat underlying cause, avoid triggers, medications"
Angina                 , "Chest Pain,Pressure,Squeezing,Shortness of Breath,Fatigue"                                 , high    , "Reduced blood flow to heart"                               , "Medications, lifestyle changes, procedures if needed"
Conjunctivitis         , "Red Eyes,Itching,Discharge,Tearing,Gritty Feeling"                                         , low     , "Eye inflammation (pink eye)"                               , "Antibiotic drops, warm compress, hygiene"
Dry Eye Syndrome       , "Dry Eyes,Burning,Redness,Blurred Vision,Eye Fatigue"                                       , low     , "Insufficient tear production"                              , "Artificial tears, avoid irritants, omega-3s"
Ear Infection          , "Ear Pain,Fluid Drainage,Hearing Loss,Fever,Irritability"                                   , medium  , "Middle ear inflammation"                                   , "Antibiotics, pain relievers, warm compress"
Tinnitus               , "Ringing in Ears,Buzzing,Hissing,Clicking"                                                  , low     , "Perception of sound without external source"               , "Treat underlying cause, sound therapy, counseling"
Mononucleosis          , "Extreme Fatigue,Fever,Sore Throat,Swollen Lymph Nodes,Body Aches"                          , medium  , "Viral infection (Epstein-Barr virus)"                      , "Rest, fluids, pain relievers, avoid contact sports"
Chickenpox             , "Itchy Rash,Blisters,Fever,Fatigue,Loss of Appetite"                                        , medium  , "Highly contagious viral infection"                         , "Calamine lotion, antihistamines, rest, isolation"
Measles                , "Fever,Cough,Runny Nose,Red Rash,White Spots in Mouth"                                      , high    , "Contagious viral infection"                                , "Supportive care, rest, vitamin A, isolation"
Mumps                  , "Swollen Cheeks,Fever,Headache,Muscle Aches,Loss of Appetite"                               , medium  , "Viral infection of salivary glands"                        , "Rest, fluids, pain relievers, soft foods"
Whooping Cough         , "Severe Coughing,Whooping Sound,Vomiting After Cough,Fatigue"                               , high    , "Highly contagious bacterial infection"                     , "Antibiotics, rest, humidifier, isolation"
Lyme Disease           , "Bull's-eye Rash,Fever,Fatigue,Headache,Joint Pain,Muscle Aches"                            , high    , "Bacterial infection from tick bite"                        , "Antibiotics, rest, pain management"
Malaria                , "Fever,Chills,Sweating,Headache,Nausea,Muscle Pain"                                         , high    , "Parasitic infection from mosquito bite"                    , "Antimalarial medications, supportive care"
Dengue Fever           , "High Fever,Severe Headache,Pain Behind Eyes,Joint Pain,Rash,Bleeding"                      , high    , "Viral infection from mosquito bite"                        , "Supportive care, fluids, rest, hospitalization if severe"
Heat Exhaustion        , "Heavy Sweating,Weakness,Dizziness,Nausea,Headache,Muscle Cramps"                           , medium  , "Overheating from high temperatures"                        , "Cool environment, fluids, rest, cool compresses"
Heat Stroke            , "High Body Temperature,Confusion,Rapid Breathing,Racing Heart,No Sweating"                  , critical, "Life-threatening overheating"                              , "Emergency cooling, hospitalization, IV fluids"
Hypothermia            , "Shivering,Confusion,Slurred Speech,Drowsiness,Slow Breathing"                              , critical, "Dangerously low body temperature"                          , "Gradual warming, warm fluids, emergency care"
Dehydration            , "Thirst,Dry Mouth,Fatigue,Dizziness,Dark Urine,Reduced Urination"                           , medium  , "Excessive fluid loss"                                      , "Rehydration with water/electrolytes, rest"
Electrolyte Imbalance  , "Muscle Cramps,Weakness,Irregular Heartbeat,Confusion,Numbness"                             , high    , "Abnormal electrolyte levels"                               , "Rehydration, electrolyte replacement, treat cause"
Vitamin D Deficiency   , "Bone Pain,Muscle Weakness,Fatigue,Mood Changes"                                            , low     , "Insufficient vitamin D levels"                             , "Vitamin D supplements, sunlight exposure, diet"
Vitamin B12 Deficiency , "Fatigue,Weakness,Pale Skin,Numbness,Balance Problems,Memory Issues"                        , medium  , "Insufficient vitamin B12"                                  , "B12 supplements, injections, diet changes"
Scurvy                 , "Fatigue,Weakness,Gum Disease,Joint Pain,Poor Wound Healing"                                , low     , "Severe vitamin C deficiency"                               , "Vitamin C supplements, diet rich in fruits/vegetables"
Gout                   , "Severe Joint Pain,Redness,Swelling,Warmth,Limited Movement"                                , high    , "Uric acid crystal buildup in joints"                       , "Anti-inflammatories, diet changes, medications"
Lactose Intolerance    , "Bloating,Diarrhea,Gas,Abdominal Cramps,Nausea"                                             , low     , "Inability to digest lactose"                               , "Avoid dairy, lactase supplements, calcium alternatives"
Celiac Disease         , "Diarrhea,Bloating,Gas,Fatigue,Weight Loss,Anemia"                                          , medium  , "Gluten intolerance autoimmune disorder"                    , "Strict gluten-free diet, nutritional supplements"
Sleep Apnea            , "Loud Snoring,Gasping During Sleep,Fatigue,Morning Headache,Difficulty Concentrating"       , medium  , "Breathing interruptions during sleep"                      , "CPAP machine, weight loss, positional therapy"
Insomnia               , "Difficulty Falling Asleep,Waking Up Often,Fatigue,Irritability,Difficulty Concentrating"   , low     , "Chronic sleep problems"                                    , "Sleep hygiene, relaxation techniques, therapy, medications"
Restless Leg Syndrome  , "Urge to Move Legs,Uncomfortable Sensations,Sleep Disruption,Symptoms Worse at Night"       , low     , "Uncontrollable leg movements"                              , "Medications, lifestyle changes, treat underlying causes"
Carpal Tunnel Syndrome , "Numbness in Hand,Tingling,Weakness,Pain in Wrist,Difficulty Gripping"                      , medium  , "Nerve compression in wrist"                                , "Wrist splint, anti-inflammatories, surgery if severe"
Tennis Elbow           , "Elbow Pain,Weakness,Pain When Gripping,Tenderness,Stiffness"                               , low     , "Tendon inflammation in elbow"                              , "Rest, ice, exercises, anti-inflammatories"
Plantar Fasciitis      , "Heel Pain,Stiffness,Pain After Rest,Tenderness,Sharp Pain"                                 , medium  , "Inflammation of foot tissue"                               , "Rest, stretching, proper footwear, orthotics"
Sciatica               , "Sharp Leg Pain,Numbness,Tingling,Weakness,Lower Back Pain"                                 , medium  , "Sciatic nerve irritation"                                  , "Pain management, physical therapy, exercises"
Herniated Disc         , "Back Pain,Leg Pain,Numbness,Tingling,Weakness,Muscle Spasms"                               , high    , "Spinal disc rupture"                                       , "Rest, physical therapy, pain management, surgery if severe"
Osteoporosis           , "Bone Fractures,Back Pain,Loss of Height,Stooped Posture"                                   , high    , "Weakened bones with low density"                           , "Calcium/vitamin D, exercise, medications"
Varicose Veins         , "Swollen Veins,Leg Pain,Heaviness,Itching,Cramping"                                         , low     , "Enlarged twisted veins"                                    , "Compression stockings, elevation, exercise, procedures"
Deep Vein Thrombosis   , "Leg Swelling,Pain,Warmth,Red Discoloration"                                                , critical, "Blood clot in deep vein"                                   , "Blood thinners, compression, hospitalization"
Anaphylaxis            , "Difficulty Breathing,Swelling,Hives,Rapid Pulse,Dizziness,Loss of Consciousness"           , critical, "Severe life-threatening allergic reaction"                 , "Emergency epinephrine, call 911, hospitalization"
Sepsis                 , "Fever,Rapid Heart Rate,Rapid Breathing,Confusion,Extreme Pain"                             , critical, "Life-threatening infection response"                       , "Emergency hospitalization, IV antibiotics, supportive care"
Stroke                 , "Sudden Numbness,Confusion,Trouble Speaking,Severe Headache,Loss of Balance,Vision Problems", critical, "Interrupted blood flow to brain"                           , "Emergency treatment, clot removal, rehabilitation"
Heart Attack           , "Chest Pain,Shortness of Breath,Nausea,Cold Sweat,Pain in Arms/Jaw"                         , critical, "Blocked blood flow to heart"                               , "Emergency treatment, medications, procedures, lifestyle changes"
Pulmonary Embolism     , "Sudden Shortness of Breath,Chest Pain,Cough,Rapid Heart Rate,Lightheadedness"              , critical, "Blood clot in lung artery"                                 , "Blood thinners, oxygen, hospitalization, clot removal"
Acute Pancreatitis     , "Severe Abdominal Pain,Nausea,Vomiting,Fever,Rapid Pulse"                                   , critical, "Sudden pancreas inflammation"                              , "Hospitalization, fasting, IV fluids, pain management"
Cholecystitis          , "Severe Right Upper Abdominal Pain,Fever,Nausea,Vomiting,Tenderness"                        , high    , "Gallbladder inflammation"                                  , "Surgery, antibiotics, pain management"
Diverticulitis         , "Abdominal Pain,Fever,Nausea,Constipation,Bloating"                                         , high    , "Inflamed pouches in colon"                                 , "Antibiotics, liquid diet, surgery if severe"
Hyperglycemia          , "Extreme Thirst,Frequent Urination,Blurred Vision,Fatigue,Cough,Dry Mouth"                  , high    , "High blood sugar levels"                                   , "Insulin, hydration, medical consult"
Hypoglycemia           , "Shaking,Sweating,Fast Heartbeat,Confusion,Dizziness,Hunger"                                , high    , "Low blood sugar levels"                                    , "Fast-acting carbohydrates, glucose tablets"
Migraine Aura          , "Visual Disturbances,Tingling in Limbs,Difficulty Speaking,Severe Headache"                 , medium  , "Neurological symptoms preceding migraine"                  , "Rest, dark room, medication"
Panic Attack           , "Palpitations,Shortness of Breath,Chest Pain,Fear of Death,Trembling"                       , medium  , "Sudden episode of intense fear"                            , "Breathing exercises, grounding, therapy"
Heat Rash              , "Prickly Heat,Small Red Bumps,Itching,Stinging Sensation"                                   , low     , "Skin irritation from blocked sweat ducts"                  , "Keep cool, dry, calamine lotion"
Impetigo               , "Red Sores,Honey-colored Crusts,Itching,Blisters"                                           , medium  , "Contagious bacterial skin infection"                       , "Antibiotic ointment, hygiene"
Scabies                , "Intense Itching,Pimple-like Rash,Sores from Scratching,Thin Lines on Skin"                 , medium  , "Skin infestation by tiny mites"                            , "Permethrin cream, wash all bedding"
Rosacea                , "Facial Redness,Visible Blood Vessels,Swollen Red Bumps,Eye Problems"                       , low     , "Chronic inflammatory skin condition"                       , "Avoid triggers, topical treatments"
Carpal Tunnel          , "Tingling in Hand,Numbness in Fingers,Weakness in Grip,Wrist Pain"                          , medium  , "Nerve compression in wrist"                                , "Splints, exercises, ergonomic changes"
Gout Attack            , "Sudden Joint Pain,Redness in Big Toe,Swelling,Heat"                                        , high    , "Sudden inflammation from uric acid"                        , "Anti-inflammatories, hydration"
Lupus                  , "Butterfly Rash,Joint Pain,Fatigue,Fever,Sensitivity to Sun"                                , high    , "Systemic autoimmune disease"                               , "Medical management, sun protection"
Hypotension            , "Dizziness,Fainting,Blurred Vision,Nausea,Lack of Concentration"                            , medium  , "Low blood pressure"                                        , "Hydration, salt intake, slow movements"
Hyperthyroidism        , "Weight Loss,Rapid Heartbeat,Nervousness,Sweating,Hand Tremors"                             , medium  , "Overactive thyroid"                                        , "Medication, radioactive iodine"
Hypothyroidism         , "Fatigue,Weight Gain,Cold Sensitivity,Dry Skin,Thinning Hair"                               , medium  , "Underactive thyroid"                                       , "Thyroid hormone replacement"
Gallstones             , "Sudden Upper Right Abdominal Pain,Nausea,Vomiting,Back Pain"                               , high    , "Hardened deposits in gallbladder"                          , "Diet changes, surgery if severe"
Gastroesophageal Reflux, "Heartburn,Chest Pain,Difficulty Swallowing,Regurgitation"                                  , medium  , "Chronic acid reflux"                                       , "Antacids, diet changes, elevation"
Crohn's Disease        , "Abdominal Pain,Severe Diarrhea,Fatigue,Weight Loss,Malnutrition"                           , high    , "Inflammatory bowel disease"                                , "Medication, specialized diet"
Ulcerative Colitis     , "Bloody Stools,Abdominal Cramps,Urgency to Defecate,Fatigue"                                , high    , "Inflammatory bowel disease"                                , "Medication, regular monitoring"
